"bu_code","bu_naam","parkeren_pct","auto_pct","voet_pct","fiets_pct"
"BU00100108","Industrieterrein",0.13,0.77,0.03,0.07
"BU00100201","Termunten",0.05,0.73,0.20,0.01
"BU00340210","Kruidenwijk",0.12,0.45,0.32,0.11
"BU00100304","Losdorp",0.03,0.72,0.19,0.07
"BU00100109","in het noorden",0.04,0.57,0.07,0.32
"BU00140001","Binnenstad-Zuid",0.06,0.30,0.59,0.04
"BU00140002","Binnenstad-Oost",0.09,0.42,0.45,0.03
"BU00140003","Binnenstad-West",0.05,0.36,0.57,0.02
"BU00140004","Noorderplantsoen",0.04,0.35,0.38,0.24
"BU00560109","Grijpskerk",0.02,0.84,0.03,0.11
"BU00100207","Wagenborgen",0.02,0.83,0.08,0.07
"BU00100209","Termunten",0.02,0.86,0.07,0.05
"BU00100300","Bierum",0.02,0.72,0.25,0.02
"BU00140000","Binnenstad-Noord",0.10,0.28,0.62,0.00
"BU00140105","Badstratenbuurt",0.10,0.37,0.44,0.09
"BU00140106","Zeeheldenbuurt",0.07,0.55,0.30,0.07
"BU00140107","Laanhuizen",0.09,0.54,0.32,0.06
"BU00140108","Stadspark",0.05,0.60,0.29,0.06
"BU00140109","Martini Trade Park",0.03,0.72,0.17,0.08
"BU00140200","Oranjebuurt",0.07,0.42,0.44,0.08
"BU00340211","Stedenwijk",0.14,0.31,0.44,0.11
"BU00140201","Noorderplantsoenbuurt",0.08,0.44,0.46,0.02
"BU00140202","Schildersbuurt",0.08,0.46,0.42,0.05
"BU00140203","Kostverloren",0.04,0.50,0.42,0.04
"BU00140300","De Hoogte",0.10,0.51,0.34,0.04
"BU00140301","Indische buurt",0.10,0.40,0.45,0.05
"BU00140302","Professorenbuurt",0.11,0.43,0.41,0.06
"BU00140400","Gorechtbuurt",0.09,0.43,0.44,0.04
"BU00140401","Vogelbuurt",0.12,0.44,0.43,0.01
"BU00140402","Bloemenbuurt",0.14,0.39,0.45,0.02
"BU00140403","Florabuurt",0.07,0.44,0.45,0.04
"BU00140404","Damsterbuurt",0.08,0.55,0.26,0.10
"BU00140500","De Linie",0.04,0.65,0.28,0.03
"BU00140501","Europapark",0.04,0.49,0.39,0.09
"BU19300702","Groenewoud-Huur",0.04,0.39,0.57,0.00
"BU00140502","Eemskanaal",0.12,0.71,0.10,0.07
"BU00140503","Kop van Oost",0.12,0.57,0.24,0.07
"BU00140504","Woonschepenhaven",0.11,0.68,0.12,0.09
"BU00140505","Driebond",0.01,0.86,0.09,0.04
"BU00140506","Eemspoort",0.01,0.83,0.07,0.09
"BU00140507","Euvelgunne",0.02,0.83,0.09,0.06
"BU00140703","Van Swieten",0.01,0.54,0.28,0.16
