bu_naam;parkeren_pct;auto_pct;voet_pct;fiets_pct
Regenboogbuurt;0.14;0.41;0.35;0.10
Suikerfabriekterrein;0.01;0.92;0.02;0.04
Vierverlaten;0.02;0.75;0.04;0.19
Noorderplassen;0.14;0.52;0.24;0.11
Kranenburg;0.09;0.79;0.05;0.06
Leegkerk;0.03;0.78;0.01;0.18
Gravenburg;0.00;0.59;0.25;0.15
Buitengebied Garderen;0.04;0.82;0.04;0.10
Noorderhoogebrug;0.02;0.85;0.06;0.07
Indischebuurt;0.17;0.37;0.36;0.11
Westpark;0.00;0.50;0.18;0.31
Dorkwerd;0.00;0.83;0.04;0.13
De Held;0.10;0.45;0.36;0.09
Selwerd;0.05;0.45;0.42;0.07
Zernike Campus;0.20;0.55;0.13;0.12
Selwerderhof;0.03;0.32;0.60;0.05
Tuinwijk;0.10;0.37;0.51;0.02
Beijum-West;0.13;0.53;0.26;0.09
Beijum-Oost;0.14;0.44;0.34;0.08
Tinallinge;0.01;0.85;0.09;0.06
Saaxumhuizen;0.00;1.00;0.00;0.00
De Hunze;0.05;0.61;0.30;0.04
Van Starkenborgh;0.05;0.60;0.30;0.04
Eilandenbuurt;0.17;0.43;0.35;0.05
Sebaldeburen;0.04;0.69;0.10;0.16
Hunzeboord;0.01;0.58;0.16;0.25
Lewenborg-Noord;0.17;0.40;0.39;0.04
Lewenborg-Zuid;0.14;0.40;0.38;0.09
Bebouwde kom Oostwold;0.06;0.63;0.28;0.03
Koningslaagte;0.01;0.88;0.00;0.11
Stripheldenbuurt;0.13;0.49;0.29;0.09
Sieradenbuurt;0.07;0.58;0.22;0.13
Lewenborg-West;0.11;0.45;0.31;0.14
Oosterhoogebrug;0.09;0.63;0.20;0.08
Tersluis;0.05;0.79;0.13;0.04
Poldervlak;0.03;0.71;0.10;0.16
Rasquert;0.05;0.71;0.24;0.00
Ulgersmaborg;0.13;0.59;0.24;0.04
Hunzepark;0.15;0.83;0.01;0.01
Vijfakkers-Noord;0.18;0.48;0.30;0.04
Kardinge;0.15;0.33;0.24;0.28
Drielanden;0.08;0.43;0.32;0.18
Oldekerk;0.08;0.64;0.17;0.11
Baflo;0.01;0.93;0.04;0.02
Noorddijk;0.02;0.55;0.02;0.41
Ruischerbrug;0.01;0.68;0.17;0.13
Beuningen-Aalsterveld;0.10;0.49;0.37;0.04
Middelbert;0.06;0.83;0.02;0.08
Overige verspreide huizen;0.00;0.85;0.05;0.10
Oldekerk;0.01;0.86;0.01;0.12
De Vaart;0.07;0.74;0.07;0.12
Buitenvaart;0.01;0.84;0.01;0.13
Klein Harkstede;0.02;0.84;0.00;0.13
Westergeest;0.08;0.76;0.16;0.00
Grootegast;0.10;0.60;0.22;0.08
De Wierden;0.17;0.60;0.09;0.15
Engelbert;0.02;0.85;0.06;0.07
Meeroevers;0.11;0.58;0.25;0.06
